model,pearson_r,RMSE,ROC_AUC
extra_trees,0.4357750104742845,1.481225477827024,0.6939573234483414
ENSEMBLE (mean),0.3902391050279565,1.5093912624572658,0.6686864366505085
xgboost,0.38183154205894687,1.5136359202483416,0.676230871590153
random_forest,0.3690645377640091,1.5226787297711293,0.6546668567626651
lightgbm,0.32986595185591133,1.548679202610221,0.642310616861515
catboost,0.3239685689965382,1.556604481035436,0.6319503849443968
mlp,0.29842797952660655,1.611703013869157,0.6500332667997337
