threshold,lift,assays_per_hit,precision,recall,f1,accuracy,tp,fp,fn,tn
46,1.0379056163087188,1.5382198952879582,0.6501021102791015,0.975485188968335,0.7802287581699346,0.6557901471529111,955,514,24,70
50,1.1386437116774197,1.4021304926764315,0.7132003798670465,0.7671092951991828,0.7391732283464568,0.6609085092770314,751,302,228,282
52,1.2232097937279893,1.3051948051948052,0.7661691542288557,0.6292134831460674,0.6909702748177229,0.6474728087012156,616,188,363,396
60,1.4813929048479613,1.077720207253886,0.9278846153846154,0.39427987742594484,0.5534050179211469,0.6014075495841331,386,30,593,554
66,1.561927410607273,1.0221518987341771,0.978328173374613,0.32277834525025534,0.4854070660522274,0.5713371721049264,316,7,663,577
