threshold_C,precision,recall,f1
40.68,0.6263595649392194,1.0,0.7702596380802518
41.63,0.6267605633802817,1.0,0.7705627705627706
41.69,0.6271620755925689,1.0,0.7708661417322835
41.86,0.6275641025641026,1.0,0.7711697518708153
42.43,0.6279666452854393,1.0,0.7714736012608353
42.8,0.6277278562259306,0.9989785495403473,0.7709893575088687
43.02,0.628131021194605,0.9989785495403473,0.7712933753943217
43.08,0.62853470437018,0.9989785495403473,0.7715976331360946
43.22,0.6282958199356913,0.9979570990806946,0.771112865035517
43.61,0.6287001287001287,0.9979570990806946,0.7714172917489143
43.73,0.6291049581455248,0.9979570990806946,0.7717219589257505
43.76,0.6295103092783505,0.9979570990806946,0.772026866851047
43.78,0.6299161831076725,0.9979570990806946,0.7723320158102769
43.86,0.6296774193548387,0.9969356486210419,0.7718465796757612
43.95,0.6308985132514544,0.9969356486210419,0.772763262074426
43.98,0.6313065976714101,0.9969356486210419,0.773069306930693
43.99,0.6310679611650486,0.9959141981613892,0.7725832012678289
44.06,0.6314766839378239,0.9959141981613892,0.7728894173602855
44.15,0.6318859364873622,0.9959141981613892,0.7731958762886597
44.16,0.6324675324675325,0.9948927477017364,0.7733227471218738
44.18,0.6328784925276153,0.9948927477017364,0.7736298649722002
44.24,0.6332899869960988,0.9948927477017364,0.7739372268573699
44.31,0.6337020169160703,0.9948927477017364,0.7742448330683624
44.36,0.6341145833333334,0.9948927477017364,0.7745526838966202
44.43,0.634527687296417,0.9948927477017364,0.7748607796340492
44.46,0.6353555120678408,0.9948927477017364,0.7754777070063693
44.49,0.6357702349869452,0.9948927477017364,0.7757865392273995
44.51,0.6366013071895424,0.9948927477017364,0.7764049422080509
44.52,0.637434554973822,0.9948927477017364,0.7770243318707617
44.56,0.6376146788990825,0.9938712972420838,0.7768463073852295
44.57,0.6380327868852459,0.9938712972420838,0.7771565495207668
44.6,0.6384514435695539,0.9938712972420838,0.777467039552537
44.62,0.63887065003283,0.9938712972420838,0.7777777777777777
44.66,0.6392904073587385,0.9938712972420838,0.7780887644942023
44.71,0.6390532544378699,0.992849846782431,0.7776
44.77,0.6394736842105263,0.992849846782431,0.7779111644657862
44.87,0.6398946675444371,0.992849846782431,0.77822257806245
44.89,0.6403162055335968,0.992849846782431,0.7785342410893071
44.9,0.6407382992748847,0.992849846782431,0.778846153846154
44.94,0.6405013192612137,0.9918283963227783,0.7783567134268536
44.97,0.640924092409241,0.9918283963227783,0.7786688051323175
44.99,0.6413474240422721,0.9918283963227783,0.7789811472121941
45.18,0.6408730158730159,0.9897854954034729,0.7780008028904055
45.21,0.6412971542025149,0.9897854954034729,0.7783132530120481
45.22,0.6417218543046358,0.9897854954034729,0.7786259541984734
45.26,0.6421471172962226,0.9897854954034729,0.7789389067524116
45.27,0.6425729442970822,0.9897854954034729,0.7792521109770809
45.3,0.6429993364299934,0.9897854954034729,0.7795655671761866
45.34,0.6434262948207171,0.9897854954034729,0.7798792756539235
45.37,0.6438538205980067,0.9897854954034729,0.7801932367149758
45.38,0.6433799068529608,0.9877425944841676,0.7792103142626915
45.41,0.6431424766977364,0.9867211440245148,0.7787182587666264
45.45,0.64290473017988,0.9856996935648621,0.7782258064516129
45.48,0.6433333333333333,0.9856996935648621,0.7785397337636143
45.5,0.644192256341789,0.9856996935648621,0.7791683488090432
45.53,0.6439545758183033,0.9846782431052093,0.778675282714055
45.55,0.6441471571906354,0.9836567926455567,0.778496362166532
45.57,0.643908969210174,0.982635342185904,0.7780024262029923
45.58,0.6443402545210984,0.982635342185904,0.7783171521035599
45.59,0.6447721179624665,0.982635342185904,0.7786321327397815
45.61,0.6456375838926175,0.982635342185904,0.7792628594572701
45.66,0.6458333333333334,0.9816138917262512,0.7790839075800567
