threshold,lift,assays_per_hit,precision,recall,f1,accuracy,tp,fp,fn,tn
0.0,3.223639455782313,1.2352941176470589,0.8095238095238095,0.10119047619047619,0.17989417989417988,0.7683109118086696,17,4,151,497
0.25,2.0139573070607555,1.9772727272727273,0.5057471264367817,0.2619047619047619,0.3450980392156863,0.750373692077728,44,43,124,458
0.5,1.4933035714285714,2.6666666666666665,0.375,0.4642857142857143,0.4148936170212766,0.6711509715994021,78,130,90,371
1.0,1.2380676168379185,3.216417910447761,0.3109048723897912,0.7976190476190477,0.4474123539232054,0.5052316890881914,134,297,34,204
