threshold_ddG,precision,recall,f1
2.7529209137269444,0.25112107623318386,1.0,0.4014336917562724
2.6622584580662654,0.25149700598802394,1.0,0.4019138755980861
2.572566752976551,0.2518740629685157,1.0,0.4023952095808383
2.5599430801878214,0.25225225225225223,1.0,0.40287769784172656
2.52388943469108,0.2511278195488722,0.9940476190476191,0.4009603841536615
2.467841957471049,0.25150602409638556,0.9940476190476191,0.4014423076923077
2.4603717253080077,0.25188536953242835,0.9940476190476191,0.4019253910950662
2.3122366553472107,0.25226586102719034,0.9940476190476191,0.4024096385542169
2.2306394985633693,0.2526475037821483,0.9940476190476191,0.40289505428226785
2.1804411075115504,0.25303030303030305,0.9940476190476191,0.40338164251207737
2.1762782550650583,0.2534142640364188,0.9940476190476191,0.4038694074969771
2.1680201084942996,0.25379939209726443,0.9940476190476191,0.4043583535108959
2.1607144123500817,0.2541856925418569,0.9940476190476191,0.4048484848484848
2.1469391226609997,0.2545731707317073,0.9940476190476191,0.4053398058252427
2.1449865304163183,0.2549618320610687,0.9940476190476191,0.40583232077764275
2.1179707944129973,0.25535168195718655,0.9940476190476191,0.40632603406326034
2.1122157810964928,0.2557427258805513,0.9940476190476191,0.40682095006090135
2.0960164256402005,0.2561349693251534,0.9940476190476191,0.40731707317073174
2.075534754222694,0.2565284178187404,0.9940476190476191,0.40781440781440786
2.053020287335447,0.2569230769230769,0.9940476190476191,0.4083129584352079
2.045468657236332,0.2573189522342065,0.9940476190476191,0.40881272949816405
2.0266094733058,0.25771604938271603,0.9940476190476191,0.40931372549019607
2.0234187860749144,0.2581143740340031,0.9940476190476191,0.4098159509202455
2.0101710048991337,0.2585139318885449,0.9940476190476191,0.4103194103194103
2.007808620069314,0.2589147286821705,0.9940476190476191,0.4108241082410824
1.997007719980159,0.2593167701863354,0.9940476190476191,0.4113300492610838
1.993793352516918,0.25972006220839816,0.9940476190476191,0.4118372379778052
1.99288202835553,0.2601246105919003,0.9940476190476191,0.41234567901234565
1.9879368847010799,0.26053042121684866,0.9940476190476191,0.4128553770086526
1.9858665573687688,0.2609375,0.9940476190476191,0.41336633663366334
1.9261826049276234,0.26134585289514867,0.9940476190476191,0.4138785625774473
1.9256504166851995,0.2617554858934169,0.9940476190476191,0.4143920595533498
1.9247777097944907,0.260596546310832,0.9880952380952381,0.4124223602484472
1.9049859006941077,0.2610062893081761,0.9880952380952381,0.4129353233830846
1.9021873692195628,0.2614173228346457,0.9880952380952381,0.41344956413449563
1.9009066317435979,0.2618296529968454,0.9880952380952381,0.41396508728179554
1.8963727180978889,0.26224328593996843,0.9880952380952381,0.41448189762796506
1.862103295151847,0.2626582278481013,0.9880952380952381,0.415
1.8522331441266724,0.2630744849445325,0.9880952380952381,0.41551939924906134
1.848902795605725,0.2634920634920635,0.9880952380952381,0.41604010025062665
1.8472003286111327,0.26391096979332274,0.9880952380952381,0.4165621079046425
1.8355524740635414,0.2643312101910828,0.9880952380952381,0.41708542713567837
1.8316737721300387,0.2647527910685805,0.9880952380952381,0.4176100628930817
1.8219977902778133,0.26517571884984026,0.9880952380952381,0.4181360201511335
1.81261236531079,0.2656,0.9880952380952381,0.41866330390920553
1.8032510006152362,0.2644230769230769,0.9821428571428571,0.41666666666666663
1.7994079287737523,0.26484751203852325,0.9821428571428571,0.41719342604298354
1.7980806837420438,0.2652733118971061,0.9821428571428571,0.4177215189873418
1.7862399374770435,0.26570048309178745,0.9821428571428571,0.41825095057034223
1.7809116875369961,0.2661290322580645,0.9821428571428571,0.4187817258883248
1.777966190326888,0.2665589660743134,0.9821428571428571,0.4193138500635324
1.7737994614283954,0.2669902912621359,0.9821428571428571,0.4198473282442748
1.7715104121388692,0.26742301458670986,0.9821428571428571,0.4203821656050955
1.7690277075234888,0.2662337662337662,0.9761904761904762,0.4183673469387754
1.7653706280472694,0.26666666666666666,0.9761904761904762,0.41890166028097053
1.748655489122396,0.2671009771986971,0.9761904761904762,0.41943734015345263
1.7471655450138546,0.265905383360522,0.9702380952380952,0.4174135723431498
1.7437679843556004,0.26633986928104575,0.9702380952380952,0.4179487179487179
1.7328070251978724,0.26677577741407527,0.9702380952380952,0.4184852374839538
1.730663260448303,0.26721311475409837,0.9702380952380952,0.41902313624678666
1.7261279944734786,0.2676518883415435,0.9702380952380952,0.41956241956241963
1.7196020013742839,0.2680921052631579,0.9702380952380952,0.42010309278350516
1.71906856134066,0.2685337726523888,0.9702380952380952,0.42064516129032264
1.7140894972557834,0.26897689768976896,0.9702380952380952,0.42118863049095606
1.7066803621769095,0.2694214876033058,0.9702380952380952,0.4217335058214748
1.7057146771592528,0.26986754966887416,0.9702380952380952,0.42227979274611394
1.6987715860246961,0.2703150912106136,0.9702380952380952,0.42282749675745784
1.694732823866987,0.2707641196013289,0.9702380952380952,0.42337662337662335
