threshold_C,precision,recall,f1,accuracy,tp,fp,fn,tn
45.38,0.6433799068529608,0.9877425944841676,0.7792103142626915,0.6493921944977608,967,536,12,48
45.41,0.6431424766977364,0.9867211440245148,0.7787182587666264,0.6487523992322457,966,536,13,48
45.45,0.64290473017988,0.9856996935648621,0.7782258064516129,0.6481126039667305,965,536,14,48
45.48,0.6433333333333333,0.9856996935648621,0.7785397337636143,0.6487523992322457,965,535,14,49
45.5,0.644192256341789,0.9856996935648621,0.7791683488090432,0.6500319897632757,965,533,14,51
45.53,0.6439545758183033,0.9846782431052093,0.778675282714055,0.6493921944977608,964,533,15,51
45.55,0.6441471571906354,0.9836567926455567,0.778496362166532,0.6493921944977608,963,532,16,52
45.57,0.643908969210174,0.982635342185904,0.7780024262029923,0.6487523992322457,962,532,17,52
45.58,0.6443402545210984,0.982635342185904,0.7783171521035599,0.6493921944977608,962,531,17,53
45.59,0.6447721179624665,0.982635342185904,0.7786321327397815,0.6500319897632757,962,530,17,54
45.61,0.6456375838926175,0.982635342185904,0.7792628594572701,0.6513115802943059,962,528,17,56
45.66,0.6458333333333334,0.9816138917262512,0.7790839075800567,0.6513115802943059,961,527,18,57
45.67,0.6462676529926026,0.9816138917262512,0.7793998377939982,0.6519513755598209,961,526,18,58
45.71,0.6471380471380471,0.9816138917262512,0.7800324675324676,0.653230966090851,961,524,18,60
45.72,0.6469002695417789,0.9805924412665986,0.7795371498172958,0.6525911708253358,960,524,19,60
45.73,0.6464237516869096,0.9785495403472931,0.7785453067858593,0.6513115802943058,958,524,21,60
45.77,0.6468602295746118,0.9785495403472931,0.7788617886178862,0.6519513755598209,958,523,21,61
45.79,0.6472972972972973,0.9785495403472931,0.7791785278568524,0.652591170825336,958,522,21,62
45.83,0.6474966170500677,0.9775280898876404,0.7789987789987789,0.6525911708253359,957,521,22,63
45.86,0.6479350033852403,0.9775280898876404,0.7793159609120521,0.653230966090851,957,520,22,64
45.89,0.6483739837398373,0.9775280898876404,0.7796334012219958,0.6538707613563659,957,519,22,65
45.9,0.6488135593220339,0.9775280898876404,0.7799511002444988,0.654510556621881,957,518,22,66
45.91,0.6492537313432836,0.9775280898876404,0.780269058295964,0.655150351887396,957,517,22,67
45.92,0.6496945010183299,0.9775280898876404,0.7805872756933115,0.6557901471529111,957,516,22,68
45.95,0.6501358695652174,0.9775280898876404,0.780905752753978,0.6564299424184261,957,515,22,69
45.97,0.6503401360544218,0.9765066394279878,0.7807268272764395,0.6564299424184261,956,514,23,70
46.09,0.6501021102791015,0.975485188968335,0.7802287581699346,0.6557901471529111,955,514,24,70
46.1,0.6498637602179836,0.9744637385086823,0.7797302819779323,0.655150351887396,954,514,25,70
46.12,0.6503067484662577,0.9744637385086823,0.7800490596892887,0.6557901471529111,954,513,25,71
46.14,0.6505119453924915,0.9734422880490297,0.7798690671031097,0.6557901471529111,953,512,26,72
46.15,0.6509562841530054,0.9734422880490297,0.7801882930822759,0.6564299424184261,953,511,26,73
46.19,0.6514012303485988,0.9734422880490297,0.7805077805077805,0.6570697376839412,953,510,26,74
46.2,0.6522929500342232,0.9734422880490297,0.7811475409836065,0.6583493282149712,953,508,26,76
46.21,0.6527397260273973,0.9734422880490297,0.7814678146781467,0.6589891234804862,953,507,26,77
46.22,0.6540837336993823,0.9734422880490297,0.7824302134646962,0.6609085092770314,953,504,26,80
46.23,0.654532967032967,0.9734422880490297,0.7827515400410677,0.6615483045425464,953,503,26,81
46.24,0.6545079146593256,0.9713993871297242,0.7820723684210527,0.6609085092770314,951,502,28,82
46.25,0.6549586776859504,0.9713993871297242,0.7823940765117235,0.6615483045425464,951,501,28,83
46.28,0.6547208821502413,0.9703779366700716,0.7818930041152264,0.6609085092770315,950,501,29,83
46.29,0.6544827586206896,0.9693564862104188,0.7813915191436804,0.6602687140115163,949,501,30,83
46.32,0.6544574982722875,0.9673135852911133,0.7807089859851607,0.6596289187460013,947,500,32,84
46.33,0.6549100968188105,0.9673135852911133,0.7810309278350516,0.6602687140115163,947,499,32,85
46.35,0.6544321329639889,0.965270684371808,0.7800247626908791,0.6589891234804862,945,499,34,85
46.36,0.6553398058252428,0.965270684371808,0.7806691449814128,0.6602687140115163,945,497,34,87
46.38,0.6551006245662734,0.9642492339121552,0.7801652892561984,0.6596289187460013,944,497,35,87
46.39,0.655316191799861,0.9632277834525026,0.7799834574028122,0.6596289187460013,943,496,36,88
46.41,0.6555323590814196,0.9622063329928499,0.7798013245033112,0.6596289187460013,942,495,37,89
46.42,0.6552924791086351,0.9611848825331971,0.779296066252588,0.6589891234804862,941,495,38,89
