threshold_ddg_kcal_mol,precision,recall,f1,accuracy,tp,fp,fn,tn
2.7529209137269444,0.25112107623318386,1.0,0.4014336917562724,0.2511210762331839,168,501,0,0
2.6622584580662654,0.25149700598802394,1.0,0.4019138755980861,0.2526158445440957,168,500,0,1
2.572566752976551,0.2518740629685157,1.0,0.4023952095808383,0.2541106128550073,168,499,0,2
2.5599430801878214,0.25225225225225223,1.0,0.40287769784172656,0.2556053811659192,168,498,0,3
2.52388943469108,0.2511278195488722,0.9940476190476191,0.4009603841536615,0.2541106128550076,167,498,1,3
2.467841957471049,0.25150602409638556,0.9940476190476191,0.4014423076923077,0.25560538116591935,167,497,1,4
2.4603717253080077,0.25188536953242835,0.9940476190476191,0.4019253910950662,0.2571001494768311,167,496,1,5
2.3122366553472107,0.25226586102719034,0.9940476190476191,0.4024096385542169,0.2585949177877431,167,495,1,6
2.2306394985633693,0.2526475037821483,0.9940476190476191,0.40289505428226785,0.2600896860986548,167,494,1,7
2.1804411075115504,0.25303030303030305,0.9940476190476191,0.40338164251207737,0.2615844544095666,167,493,1,8
2.1762782550650583,0.2534142640364188,0.9940476190476191,0.4038694074969771,0.26307922272047823,167,492,1,9
2.1680201084942996,0.25379939209726443,0.9940476190476191,0.4043583535108959,0.2645739910313901,167,491,1,10
2.1607144123500817,0.2541856925418569,0.9940476190476191,0.4048484848484848,0.26606875934230184,167,490,1,11
2.1469391226609997,0.2545731707317073,0.9940476190476191,0.4053398058252427,0.26756352765321384,167,489,1,12
2.1449865304163183,0.2549618320610687,0.9940476190476191,0.40583232077764275,0.26905829596412556,167,488,1,13
2.1179707944129973,0.25535168195718655,0.9940476190476191,0.40632603406326034,0.27055306427503745,167,487,1,14
2.1122157810964928,0.2557427258805513,0.9940476190476191,0.40682095006090135,0.2720478325859493,167,486,1,15
2.0960164256402005,0.2561349693251534,0.9940476190476191,0.40731707317073174,0.27354260089686105,167,485,1,16
2.075534754222694,0.2565284178187404,0.9940476190476191,0.40781440781440786,0.2750373692077728,167,484,1,17
2.053020287335447,0.2569230769230769,0.9940476190476191,0.4083129584352079,0.2765321375186846,167,483,1,18
2.045468657236332,0.2573189522342065,0.9940476190476191,0.40881272949816405,0.27802690582959644,167,482,1,19
2.0266094733058,0.25771604938271603,0.9940476190476191,0.40931372549019607,0.27952167414050805,167,481,1,20
2.0234187860749144,0.2581143740340031,0.9940476190476191,0.4098159509202455,0.28101644245142005,167,480,1,21
2.0101710048991337,0.2585139318885449,0.9940476190476191,0.4103194103194103,0.2825112107623318,167,479,1,22
2.007808620069314,0.2589147286821705,0.9940476190476191,0.4108241082410824,0.28400597907324354,167,478,1,23
1.997007719980159,0.2593167701863354,0.9940476190476191,0.4113300492610838,0.28550074738415565,167,477,1,24
1.993793352516918,0.25972006220839816,0.9940476190476191,0.4118372379778052,0.28699551569506737,167,476,1,25
1.99288202835553,0.2601246105919003,0.9940476190476191,0.41234567901234565,0.288490284005979,167,475,1,26
1.9879368847010799,0.26053042121684866,0.9940476190476191,0.4128553770086526,0.2899850523168908,167,474,1,27
1.9858665573687688,0.2609375,0.9940476190476191,0.41336633663366334,0.2914798206278027,167,473,1,28
1.9261826049276234,0.26134585289514867,0.9940476190476191,0.4138785625774473,0.2929745889387145,167,472,1,29
1.9256504166851995,0.2617554858934169,0.9940476190476191,0.4143920595533498,0.2944693572496262,167,471,1,30
1.9247777097944907,0.260596546310832,0.9880952380952381,0.4124223602484472,0.2929745889387144,166,471,2,30
1.9049859006941077,0.2610062893081761,0.9880952380952381,0.4129353233830846,0.2944693572496263,166,470,2,31
1.9021873692195628,0.2614173228346457,0.9880952380952381,0.41344956413449563,0.2959641255605382,166,469,2,32
1.9009066317435979,0.2618296529968454,0.9880952380952381,0.41396508728179554,0.29745889387144986,166,468,2,33
